"Date.Local","Arithmetic.Mean","X1st.Max.Value","X1st.Max.Hour","County.Name","City.Name"
"2023-01-01","0.338","0.755","0","Broward","Davie"
"2023-01-02","0.220375","0.575","8","Broward","Davie"
"2023-01-03","0.131952","0.201","19","Broward","Davie"
"2023-01-04","0.17975","0.309","22","Broward","Davie"
"2023-01-05","0.220042","0.429","8","Broward","Davie"
"2023-01-06","0.162417","0.272","19","Broward","Davie"
"2023-01-07","0.175458","0.328","23","Broward","Davie"
"2023-01-08","0.242167","0.559","23","Broward","Davie"
"2023-01-09","0.315667","0.538","0","Broward","Davie"
"2023-01-10","0.228625","0.415","20","Broward","Davie"
"2023-01-11","0.284125","0.674","21","Broward","Davie"
"2023-01-12","0.375958","0.821","22","Broward","Davie"
"2023-01-13","0.285583","0.697","0","Broward","Davie"
"2023-01-14","0.140583","0.204","18","Broward","Davie"
"2023-01-15","0.202458","0.509","23","Broward","Davie"
"2023-01-16","0.309125","0.649","23","Broward","Davie"
"2023-01-17","0.470045","0.769","22","Broward","Davie"
"2023-01-18","0.436","0.802","22","Broward","Davie"
"2023-01-19","0.29775","0.599","0","Broward","Davie"
"2023-01-20","0.345917","0.634","22","Broward","Davie"
"2023-01-21","0.338875","0.587","1","Broward","Davie"
"2023-01-22","0.188875","0.382","23","Broward","Davie"
"2023-01-23","0.195292","0.305","8","Broward","Davie"
"2023-01-24","0.149167","0.18","20","Broward","Davie"
"2023-01-25","0.166333","0.465","8","Broward","Davie"
"2023-01-26","0.191667","0.26","2","Broward","Davie"
"2023-01-27","0.181167","0.224","13","Broward","Davie"
"2023-01-28","0.14775","0.17","6","Broward","Davie"
"2023-01-29","0.129708","0.159","19","Broward","Davie"
"2023-01-30","0.195214","0.334","8","Broward","Davie"
"2023-01-31","0.202458","0.397","8","Broward","Davie"
"2023-02-01","0.224375","0.539","8","Broward","Davie"
"2023-02-02","0.255875","0.563","8","Broward","Davie"
"2023-02-03","0.166292","0.263","8","Broward","Davie"
"2023-02-04","0.129792","0.154","11","Broward","Davie"
"2023-02-05","0.152917","0.329","20","Broward","Davie"
"2023-02-06","0.168417","0.27","8","Broward","Davie"
"2023-02-07","0.160958","0.278","1","Broward","Davie"
"2023-02-08","0.131905","0.186","7","Broward","Davie"
"2023-02-09","0.130417","0.159","6","Broward","Davie"
"2023-02-10","0.161083","0.328","22","Broward","Davie"
"2023-02-11","0.198667","0.379","7","Broward","Davie"
"2023-02-12","0.119292","0.13","18","Broward","Davie"
"2023-02-13","0.174042","0.394","22","Broward","Davie"
"2023-02-14","0.188375","0.345","9","Broward","Davie"
"2023-02-15","0.14575","0.184","19","Broward","Davie"
"2023-02-16","0.154083","0.234","20","Broward","Davie"
"2023-02-17","0.257458","0.633","22","Broward","Davie"
"2023-02-18","0.2015","0.485","0","Broward","Davie"
"2023-02-19","0.175333","0.314","22","Broward","Davie"
"2023-02-20","0.165833","0.234","9","Broward","Davie"
"2023-02-21","0.177542","0.293","8","Broward","Davie"
"2023-02-22","0.233955","0.374","7","Broward","Davie"
"2023-02-23","0.179625","0.327","0","Broward","Davie"
"2023-02-24","0.207125","0.4","8","Broward","Davie"
"2023-02-25","0.247478","0.44","7","Broward","Davie"
"2023-02-26","0.19125","0.32","0","Broward","Davie"
"2023-02-27","0.1565","0.254","8","Broward","Davie"
"2023-02-28","0.160875","0.264","8","Broward","Davie"
"2023-03-01","0.235556","0.35","22","Broward","Davie"
"2023-03-02","0.221875","0.37","1","Broward","Davie"
"2023-03-03","0.212958","0.285","1","Broward","Davie"
"2023-03-04","0.160667","0.214","6","Broward","Davie"
"2023-03-05","0.163","0.273","1","Broward","Davie"
"2023-03-06","0.198917","0.354","1","Broward","Davie"
"2023-03-07","0.179375","0.239","23","Broward","Davie"
"2023-03-08","0.181875","0.225","17","Broward","Davie"
"2023-03-09","0.154167","0.189","5","Broward","Davie"
"2023-03-10","0.172292","0.255","8","Broward","Davie"
"2023-03-11","0.151208","0.222","21","Broward","Davie"
"2023-03-12","0.1895","0.303","7","Broward","Davie"
"2023-03-13","0.176333","0.419","7","Broward","Davie"
"2023-03-14","0.18075","0.236","22","Broward","Davie"
"2023-03-15","0.175727","0.302","21","Broward","Davie"
"2023-03-16","0.150125","0.427","7","Broward","Davie"
"2023-03-17","0.154417","0.295","23","Broward","Davie"
"2023-03-18","0.264083","0.625","6","Broward","Davie"
"2023-03-19","0.19375","0.288","6","Broward","Davie"
"2023-03-20","0.154208","0.196","14","Broward","Davie"
"2023-03-21","0.1705","0.308","8","Broward","Davie"
"2023-03-22","0.1355","0.28","6","Broward","Davie"
"2023-03-23","0.140708","0.181","6","Broward","Davie"
"2023-03-24","0.15775","0.322","7","Broward","Davie"
"2023-03-25","0.1445","0.158","1","Broward","Davie"
"2023-03-26","0.139","0.17","7","Broward","Davie"
"2023-03-27","0.160615","0.44","7","Broward","Davie"
"2023-03-28","0.180958","0.312","7","Broward","Davie"
"2023-03-29","0.196375","0.302","7","Broward","Davie"
"2023-03-30","0.178208","0.365","7","Broward","Davie"
"2023-03-31","0.129208","0.157","20","Broward","Davie"
"2023-04-01","0.116833","0.153","5","Broward","Davie"
"2023-04-02","0.164875","0.18","19","Broward","Davie"
"2023-04-03","0.1465","0.316","7","Broward","Davie"
"2023-04-04","0.131","0.273","6","Broward","Davie"
"2023-04-05","0.101333","0.157","6","Broward","Davie"
"2023-04-06","0.096125","0.123","21","Broward","Davie"
"2023-04-07","0.124167","0.171","20","Broward","Davie"
"2023-04-08","0.127364","0.14","14","Broward","Davie"
"2023-04-09","0.155583","0.2","17","Broward","Davie"
"2023-04-10","0.145083","0.194","6","Broward","Davie"
"2023-04-11","0.126625","0.155","8","Broward","Davie"
"2023-04-12","0.147167","0.21","17","Broward","Davie"
"2023-04-13","0.203375","0.503","23","Broward","Davie"
"2023-04-14","0.350583","0.754","7","Broward","Davie"
"2023-04-15","0.2275","0.442","1","Broward","Davie"
"2023-04-16","0.16625","0.205","5","Broward","Davie"
"2023-04-17","0.166235","0.334","7","Broward","Davie"
"2023-04-18","0.1509","0.184","11","Broward","Davie"
"2023-04-19","0.124222","0.142","19","Broward","Davie"
"2023-04-20","0.131333","0.187","6","Broward","Davie"
"2023-04-21","0.180542","0.352","7","Broward","Davie"
"2023-04-22","0.224708","0.387","1","Broward","Davie"
"2023-04-23","0.200292","0.443","2","Broward","Davie"
"2023-04-24","0.18319","0.303","1","Broward","Davie"
"2023-04-25","0.149208","0.215","7","Broward","Davie"
"2023-04-26","0.204792","0.369","7","Broward","Davie"
"2023-04-27","0.158125","0.352","7","Broward","Davie"
"2023-04-28","0.195708","0.419","7","Broward","Davie"
"2023-04-29","0.169917","0.269","6","Broward","Davie"
"2023-04-30","0.128542","0.172","10","Broward","Davie"
"2023-05-01","0.136","0.228","17","Broward","Davie"
"2023-05-02","0.127917","0.18","6","Broward","Davie"
"2023-05-03","0.201125","0.349","2","Broward","Davie"
"2023-05-04","0.184875","0.293","23","Broward","Davie"
"2023-05-05","0.249167","0.464","6","Broward","Davie"
"2023-05-06","0.167167","0.307","7","Broward","Davie"
"2023-05-07","0.129542","0.144","20","Broward","Davie"
"2023-05-08","0.136429","0.187","6","Broward","Davie"
"2023-05-09","0.148917","0.26","6","Broward","Davie"
"2023-05-10","0.173375","0.276","6","Broward","Davie"
"2023-05-11","0.146125","0.22","6","Broward","Davie"
"2023-05-12","0.149375","0.185","19","Broward","Davie"
"2023-05-13","0.143208","0.163","6","Broward","Davie"
"2023-05-14","0.165417","0.457","8","Broward","Davie"
"2023-05-15","0.158083","0.371","7","Broward","Davie"
"2023-05-16","0.177292","0.279","6","Broward","Davie"
"2023-05-17","0.137625","0.218","19","Broward","Davie"
"2023-05-18","0.187","0.331","22","Broward","Davie"
"2023-05-19","0.188042","0.31","0","Broward","Davie"
"2023-05-20","0.1675","0.328","6","Broward","Davie"
"2023-05-21","0.151583","0.208","5","Broward","Davie"
"2023-05-22","0.146318","0.329","6","Broward","Davie"
"2023-05-23","0.171208","0.948","7","Broward","Davie"
"2023-05-24","0.228643","0.365","22","Broward","Davie"
"2023-05-25","0.241333","0.396","21","Broward","Davie"
"2023-05-26","0.197625","0.391","7","Broward","Davie"
"2023-05-27","0.170917","0.295","22","Broward","Davie"
"2023-05-28","0.16225","0.268","0","Broward","Davie"
